"filename", "language", "Markdown", "Shell Script", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "Batch", "CSS", "HTML", "Properties", "Docker", "Python", "YAML", "pip requirements", "comment", "blank", "total"
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\api.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 24, 177
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\cartonShapes.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 45
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\colors.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 35
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\excelExport.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 10, 113
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\excelImport.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 165
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\loadSlicesExport.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 21, 224
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\mockPacker.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 46, 286
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\productMaster.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 98
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\lib\testCases.ts", "TypeScript", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 195
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\cartonSlice.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\containerSlice.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 54
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 41
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\packingSlice.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 18, 163
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\palletSlice.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 73
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\src\store\uiSlice.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 56
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\vite.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\plan.md", "Markdown", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 184
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\research-report.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 277
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\scripts\generate-test-sheets.mjs", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 103
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\start.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\start.sh", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"Total", "-", 686, 3, 1266, 100, 9209, 13, 1907, 3, 139, 13, 15, 17, 1253, 18, 2, 763, 1023, 16430
